,2010_Gangwon,2010_Gyeonggi,2010_Gyeongnam,2010_Gyeongbuk,2010_Gwangju,2010_Daegu,2010_Daejeon,2010_Busan,2010_Seoul,2010_Ulsan,2010_Incheon,2010_Jeonnam,2010_Jeonbuk,2010_Jeju,2010_Chungnam,2010_Chungbuk,2014_Gangwon,2014_Gyeonggi,2014_Gyeongnam,2014_Gyeongbuk,2014_Gwangju,2014_Daegu,2014_Daejeon,2014_Busan,2014_Seoul,2014_Sejong,2014_Ulsan,2014_Incheon,2014_Jeonnam,2014_Jeonbuk,2014_Jeju,2014_Chungnam,2014_Chungbuk,2018_Gangwon,2018_Gyeonggi,2018_Gyeongnam,2018_Gyeongbuk,2018_Gwangju,2018_Daegu,2018_Daejeon,2018_Busan,2018_Seoul,2018_Sejong,2018_Ulsan,2018_Incheon,2018_Jeonnam,2018_Jeonbuk,2018_Jeju,2018_Chungnam,2018_Chungbuk
2014_Seoul,8852637135045.0,241268962470.0,9211237632795.0,7260362319990.0,10461578217318.0,8345752610134.0,10605401408630.0,6152460862121.0,483565704941.0,10022190675668.0,7626451921674.0,9115834537955.0,9139339961870.0,11587085069891.0,9869170724290.0,9046767782090.0,8653914345482.0,255402434978.0,6241414328634.0,7830264027600.0,10079273649605.0,7782276365261.0,9176031205250.0,9849747187946.0,0.0,11724488457672.0,10841359448974.0,6896625832889.0,8053225651934.0,8375147665346.0,10793296273860.0,8177435699845.0,8830663406850.0,8333662614234.0,637707698532.0,5085696100756.0,7071604618394.0,9051662314469.0,7484971452122.0,9119371547614.0,5468542515477.0,2255039322249.0,11404055264370.0,9424185356761.0,6630864731665.0,8088019756806.0,8666879407027.0,11251859238420.0,7677866662314.0,8757810621489.0
2014_Sejong,215771034553.0,9246410991746.0,1159501089931.0,824851068546.0,99449428562.0,381836071530.0,113639106850.0,891350589653.0,8414395702697.0,72930992620.0,470367516166.0,417178265675.0,326597487626.0,35818347827.0,273764632098.0,182617279574.0,237486454750.0,12336650224646.0,1073452204978.0,965032029608.0,177296763225.0,456831071929.0,158465691350.0,1285825963590.0,11724488457672.0,0.0,121491390834.0,658339480805.0,548674419338.0,351503605202.0,25824088908.0,321816884261.0,208852836394.0,298397644786.0,15860677480524.0,1378543380564.0,756330538102.0,296475004585.0,538158166806.0,174508806930.0,1208905377137.0,9492858135053.0,3917883870.0,127539184269.0,742760876681.0,654732082746.0,499541894619.0,50904909580.0,440258685390.0,234728202009.0
2014_Ulsan,144920609745.0,8305757555114.0,999457662873.0,861614207684.0,7859653208.0,436214373854.0,64025713572.0,726225291821.0,7431942000245.0,132399020742.0,309716945442.0,120096150929.0,97312346666.0,40624161253.0,58031616782.0,130112673416.0,179911384844.0,11169761169826.0,688978734366.0,503792651462.0,218984120659.0,274428276381.0,135546237228.0,633149508466.0,10841359448974.0,121491390834.0,0.0,476442070781.0,609293838322.0,377482885274.0,61778341462.0,246354410981.0,161502465450.0,304430151234.0,14808636686086.0,1106282038526.0,416089111172.0,417710587001.0,319969512484.0,174965554350.0,993698372907.0,8660319843921.0,124656119322.0,128353314521.0,622905351353.0,724944979284.0,550355234057.0,106097196062.0,405039700556.0,240208476725.0
2014_Incheon,122964953092.0,4982916825483.0,1043556217246.0,353170762793.0,385615105145.0,226151805051.0,473156030913.0,31582298304.0,4374515707128.0,330836150181.0,18919889011.0,252790018794.0,207672069299.0,626468184278.0,372296529069.0,148670212473.0,105516564965.0,7295970310835.0,96628949645.0,311994420417.0,454203113314.0,31935815304.0,171783032693.0,1018356322467.0,6896625832889.0,658339480805.0,476442070781.0,0.0,311612589867.0,196600530249.0,439932414389.0,66379906094.0,126353368969.0,116586997705.0,10293388152053.0,149589236761.0,68742117745.0,339957351700.0,21858111417.0,195639638051.0,134715135358.0,5852348515000.0,595785468923.0,216910240344.0,56367642042.0,419612150813.0,418015090902.0,599771579373.0,73327866125.0,168424836086.0
2014_Jeonnam,287780904059.0,6233540605280.0,455889478229.0,28853381570.0,498602873446.0,21420359960.0,354570787154.0,296241434331.0,5635598754651.0,240912589742.0,308328215432.0,678349196721.0,584844037712.0,565639342049.0,469763946386.0,276051606534.0,231935527558.0,8958517320500.0,703835760054.0,1106579587406.0,161035041101.0,359157273515.0,247397696870.0,1481722723624.0,8053225651934.0,548674419338.0,609293838322.0,311612589867.0,0.0,34043312070.0,455631149126.0,182179437417.0,234543966698.0,113550915914.0,11124094412486.0,485022234930.0,478661728026.0,44206222587.0,363869285002.0,152096460376.0,321175114209.0,5742065533299.0,460626892424.0,224456484515.0,142933297009.0,10986570206.0,22400686217.0,385349586454.0,95622191582.0,105043958837.0
2014_Jeonbuk,125126390545.0,6420563169366.0,564223822417.0,109088212046.0,286463804702.0,2822402586.0,212175509598.0,234104058873.0,5778508130901.0,107613928158.0,164474485066.0,433326096333.0,349627007246.0,361962471497.0,295374221496.0,116394488082.0,90081830222.0,9135442331534.0,538414607876.0,815820914634.0,96484463713.0,196875128637.0,98027629190.0,1237942343034.0,8375147665346.0,351503605202.0,377482885274.0,196600530249.0,34043312070.0,0.0,256589218646.0,65977906211.0,90445222996.0,27337376404.0,11692340764550.0,462540758554.0,332234162314.0,23113604329.0,212280978618.0,43979904818.0,324653939389.0,6303218298301.0,284397327098.0,85969711317.0,113670792003.0,79307538170.0,58445513421.0,244324959918.0,33038511014.0,19661728139.0
2014_Jeju,97898254113.0,8380963774302.0,1074472172787.0,697250436702.0,34924065750.0,292746090934.0,78517110734.0,649865974469.0,7574427329849.0,34718671184.0,284522993394.0,246762140867.0,173419921910.0,35566086275.0,169626862150.0,77372171018.0,118108413578.0,11311429917962.0,768866907486.0,684793290132.0,152197677857.0,269785396553.0,66441972866.0,1057120646354.0,10793296273860.0,25824088908.0,61778341462.0,439932414389.0,455631149126.0,256589218646.0,0.0,183871551085.0,98661848790.0,187555973694.0,14827260228480.0,1068919439176.0,509243080514.0,248471058929.0,333326370770.0,93670854286.0,936640683129.0,8810600707581.0,22007692794.0,53052708253.0,541636574761.0,569077091478.0,432118097563.0,60249846864.0,297338372154.0,143575055097.0
2014_Chungnam,20526394602.0,6123486899033.0,828999860538.0,283706462373.0,172462220481.0,90734363669.0,207255096541.0,145802822318.0,5454534585938.0,101902160317.0,27367381149.0,198063432758.0,136700966025.0,309849271102.0,201171008195.0,25635996677.0,8434059261.0,8696791643509.0,283510321547.0,436499101253.0,188507343518.0,37915147834.0,29645951429.0,979731633693.0,8177435699845.0,321816884261.0,246354410981.0,66379906094.0,182179437417.0,65977906211.0,183871551085.0,0.0,13712160435.0,16389031539.0,11715326575069.0,368532154681.0,150158295649.0,140481997714.0,52899829449.0,34491187157.0,292277012850.0,6624597173682.0,273229264661.0,45178250234.0,99219571844.0,275428605689.0,233577450266.0,273570771341.0,24709618629.0,28014895476.0
2014_Chungbuk,3057527241.0,6677776325754.0,894730859829.0,375384964334.0,100101154702.0,119145271974.0,146296534958.0,242544936217.0,5972755402477.0,52160685230.0,56122765974.0,169407324289.0,104479047410.0,204893932989.0,162808833060.0,2268349786.0,948999574.0,9337180280466.0,367753418648.0,451019338314.0,157076830469.0,58926940805.0,3502367422.0,970444646982.0,8830663406850.0,208852836394.0,161502465450.0,126353368969.0,234543966698.0,90445222996.0,98661848790.0,13712160435.0,0.0,29050540704.0,12523797373158.0,519080598506.0,207668830754.0,145155718769.0,87692404578.0,18970603518.0,432372446161.0,7217827968373.0,173552598838.0,13448601405.0,185765767307.0,337329160090.0,269923650249.0,190220252078.0,65163464174.0,28441341755.0
2018_Gangwon,48305235465.0,6331199965530.0,796260539853.0,209942357270.0,216942486982.0,39418666806.0,217319410262.0,177179833177.0,5684940337981.0,80298303062.0,78299852166.0,314947437241.0,231277186994.0,321429214437.0,270218696244.0,46705424386.0,26480573806.0,8979403879554.0,409236618152.0,618915446274.0,149914192301.0,100319693621.0,38755730614.0,1195385941110.0,8333662614234.0,298397644786.0,304430151234.0,116586997705.0,113550915914.0,27337376404.0,187555973694.0,16389031539.0,29050540704.0,0.0,11849441466126.0,421394976146.0,254215007930.0,69127755665.0,122897993850.0,24075368238.0,319376073145.0,6677139950437.0,244227346342.0,43402634061.0,105673955723.0,193338015970.0,165132275553.0,252049121462.0,14481025670.0,10115238059.0
2018_Gyeonggi,12594683562561.0,1376777983518.0,11668406273523.0,10103600021838.0,14384590435110.0,11634053810998.0,14282752173374.0,9346214029829.0,1750928640281.0,13806098062352.0,11173012981266.0,12913842913955.0,12984354897014.0,15597576733283.0,13467498695830.0,12799479211514.0,12324447188474.0,1144329129866.0,9590879613006.0,11613832524084.0,13543329257585.0,11379061985705.0,12923043884978.0,13172688354290.0,637707698532.0,15860677480524.0,14808636686086.0,10293388152053.0,11124094412486.0,11692340764550.0,14827260228480.0,11715326575069.0,12523797373158.0,11849441466126.0,0.0,7971318870376.0,10394292582674.0,12436804071953.0,10989431971106.0,12719589543502.0,8316026592297.0,1914856673661.0,15449881787994.0,13154826154525.0,9740863110841.0,11023952806566.0,11714222709691.0,15059788269264.0,11039527010538.0,12267853842921.0
2018_Gyeongnam,528309218597.0,3500799910506.0,1177183611275.0,396568246766.0,973615064126.0,478721287754.0,1023556767614.0,59093645161.0,3012692035333.0,842180651000.0,271836724454.0,697825123099.0,663651736146.0,1321759224947.0,849518826386.0,573440498890.0,477674264514.0,5530172506334.0,167757190794.0,614944799508.0,905863714969.0,310742985317.0,605495623882.0,1404613527270.0,5085696100756.0,1378543380564.0,1106282038526.0,149589236761.0,485022234930.0,462540758554.0,1068919439176.0,368532154681.0,519080598506.0,421394976146.0,7971318870376.0,0.0,228630325706.0,670577972741.0,255451754298.0,594198051602.0,19481655617.0,4244593082249.0,1272014114094.0,669044739737.0,117681356309.0,561606551334.0,645052846835.0,1223177638824.0,286479261746.0,514070135741.0
2018_Gyeongbuk,189282554573.0,5018418451442.0,948710338505.0,534914175912.0,363449764524.0,384868762206.0,454944919736.0,145074342145.0,4333612942369.0,437712876578.0,71398619666.0,140266185313.0,147873055154.0,628341549061.0,260018604534.0,218954193844.0,187117305032.0,7285882675738.0,54071065054.0,161232097586.0,519433389563.0,62994828953.0,257294056920.0,584092444578.0,7071604618394.0,756330538102.0,416089111172.0,68742117745.0,478661728026.0,332234162314.0,509243080514.0,150158295649.0,207668830754.0,254215007930.0,10394292582674.0,228630325706.0,0.0,520446940965.0,35171712048.0,289877637230.0,227378293427.0,5745553997069.0,701431396186.0,305505294693.0,165965406429.0,585401280232.0,540914599809.0,641049598826.0,204637521000.0,279968578017.0
2018_Gwangju,190165287392.0,7074706757723.0,593074925606.0,141170439333.0,323696174325.0,16461068691.0,216834653453.0,385251824884.0,6425949122308.0,97899019601.0,285893791211.0,573912394114.0,468053578019.0,341639607838.0,373029738309.0,170077383373.0,152169683945.0,9929665492915.0,773268061885.0,1057780138637.0,73701172634.0,324027127364.0,137632260393.0,1468036378587.0,9051662314469.0,296475004585.0,417710587001.0,339957351700.0,44206222587.0,23113604329.0,248471058929.0,140481997714.0,145155718769.0,69127755665.0,12436804071953.0,670577972741.0,520446940965.0,0.0,355362463197.0,68675047451.0,497000130758.0,6782274190340.0,232567692163.0,109383952404.0,228111951462.0,79756914553.0,52672548102.0,204181546313.0,99809996625.0,48280928106.0
2018_Daegu,75258085509.0,5429882301154.0,1005361501905.0,445822324024.0,254974513964.0,254210270734.0,353714932008.0,103207998729.0,4759967316969.0,269955866514.0,6859743522.0,126164511273.0,98302842754.0,476091442685.0,236626430950.0,97231924884.0,72495577496.0,7801947167258.0,97177079198.0,209269153618.0,392950427603.0,4781831841.0,123721065000.0,783869964786.0,7484971452122.0,538158166806.0,319969512484.0,21858111417.0,363869285002.0,212280978618.0,333326370770.0,52899829449.0,87692404578.0,122897993850.0,10989431971106.0,255451754298.0,35171712048.0,355362463197.0,0.0,160139479486.0,236383543979.0,6276026054453.0,490264657098.0,164996684941.0,117168737141.0,479628758040.0,438828017977.0,483512700698.0,101763160312.0,153693268729.0
2018_Daejeon,35325571227.0,6979449786536.0,717142642221.0,290451753326.0,111731841530.0,63840729296.0,98397122718.0,303272256851.0,6270694121099.0,22844149734.0,118636561368.0,252865934609.0,180287471912.0,174319390081.0,161795706326.0,25321490834.0,24561546290.0,9739784854732.0,502856912946.0,625601808590.0,71306531089.0,129358257531.0,14622024162.0,1034209592440.0,9119371547614.0,174508806930.0,174965554350.0,195639638051.0,152096460376.0,43979904818.0,93670854286.0,34491187157.0,18970603518.0,24075368238.0,12719589543502.0,594198051602.0,289877637230.0,68675047451.0,160139479486.0,0.0,470443260621.0,7155029304891.0,133144081608.0,7367359211.0,200343029429.0,229612650690.0,162025363193.0,123304229918.0,65766324026.0,5703735425.0
2018_Busan,453338791054.0,3866519842409.0,930553307950.0,242683962859.0,862699275251.0,333298216805.0,859307219283.0,47113671550.0,3364460164006.0,697413323361.0,240757645657.0,670895887534.0,627481473265.0,1159719299214.0,738721131089.0,487716003403.0,397389312107.0,6020579039445.0,225226901365.0,689503785221.0,713591963144.0,285080144814.0,507247206059.0,1369848110585.0,5468542515477.0,1208905377137.0,993698372907.0,134715135358.0,321175114209.0,324653939389.0,936640683129.0,292277012850.0,432372446161.0,319376073145.0,8316026592297.0,19481655617.0,227378293427.0,497000130758.0,236383543979.0,470443260621.0,0.0,4276403295570.0,1100708143433.0,552519849674.0,58377969954.0,376664635931.0,452414359994.0,1032704445513.0,198766248523.0,391549503982.0
2018_Seoul,7326247142068.0,2088881060579.0,5161551184390.0,5016654471949.0,8391467594741.0,6257346197507.0,7952736494661.0,5200188465784.0,2019782143960.0,7947234901437.0,6425469961699.0,7564438558474.0,7662841930747.0,9116756707062.0,7442878961321.0,7430681306077.0,7097139665513.0,3105812442363.0,5567628533425.0,7149922349201.0,7325557566494.0,6588587998344.0,7479992850665.0,7159764643859.0,2255039322249.0,9492858135053.0,8660319843921.0,5852348515000.0,5742065533299.0,6303218298301.0,8810600707581.0,6624597173682.0,7217827968373.0,6677139950437.0,1914856673661.0,4244593082249.0,5745553997069.0,6782274190340.0,6276026054453.0,7155029304891.0,4276403295570.0,0.0,9149847848891.0,7554563566304.0,5182473162630.0,5526647546441.0,5943670278470.0,8554663603701.0,6094096384225.0,6826527560026.0
2018_Sejong,185081740915.0,8981279478008.0,1056420551065.0,716535856098.0,94969054694.0,310550297832.0,93120094450.0,807814545131.0,8168743373963.0,46267176562.0,422535575056.0,406329046973.0,314571057416.0,39378645221.0,253087183974.0,153122236118.0,199909206670.0,12047905671236.0,1013715387586.0,949817113682.0,133114171773.0,414842384587.0,127810241486.0,1271860865616.0,11404055264370.0,3917883870.0,124656119322.0,595785468923.0,460626892424.0,284397327098.0,22007692794.0,273229264661.0,173552598838.0,244227346342.0,15449881787994.0,1272014114094.0,701431396186.0,232567692163.0,490264657098.0,133144081608.0,1100708143433.0,9149847848891.0,0.0,96569762907.0,656391668981.0,557650562166.0,416343476229.0,36320642650.0,373539993558.0,184318139097.0
2018_Ulsan,22632548868.0,7219192585715.0,834272597334.0,387876804725.0,73307759661.0,111424804947.0,89046250157.0,350146329240.0,6489975233160.0,12908287613.0,123268433379.0,215169521706.0,142975959979.0,131349840342.0,149435531793.0,12392251173.0,21152730929.0,9995361421803.0,515213989289.0,580902022241.0,93778995846.0,126388988600.0,4333409681.0,1017299660563.0,9424185356761.0,127539184269.0,128353314521.0,216910240344.0,224456484515.0,85969711317.0,53052708253.0,45178250234.0,13448601405.0,43402634061.0,13154826154525.0,669044739737.0,305505294693.0,109383952404.0,164996684941.0,7367359211.0,552519849674.0,7554563566304.0,96569762907.0,0.0,258064895710.0,317220083361.0,234167920038.0,106923808917.0,100174300169.0,24206156066.0
2018_Incheon,207660779342.0,4859784019137.0,760853516018.0,137475587817.0,510853716581.0,123023986069.0,499913321521.0,30555850074.0,4294811264406.0,354779711881.0,100652029325.0,448651951278.0,388718477969.0,721622844246.0,456395703451.0,225700342305.0,165042058681.0,7234513589565.0,238363912875.0,599453104977.0,383348185518.0,136293286990.0,232333768561.0,1211326511117.0,6630864731665.0,742760876681.0,622905351353.0,56367642042.0,142933297009.0,113670792003.0,541636574761.0,99219571844.0,185765767307.0,105673955723.0,9740863110841.0,117681356309.0,165965406429.0,228111951462.0,117168737141.0,200343029429.0,58377969954.0,5182473162630.0,656391668981.0,258064895710.0,0.0,204612297005.0,235737193834.0,614133679241.0,42149194977.0,148456457208.0
2018_Jeonnam,400314863521.0,6305748246086.0,371753159221.0,23477407896.0,611108226500.0,60716704578.0,420338595496.0,387076477805.0,5713275159893.0,325866666790.0,422696013310.0,816989681669.0,723859372694.0,663144751289.0,552050512398.0,384713708468.0,335552023096.0,9064309815950.0,839752058926.0,1289686522430.0,194862646059.0,480502678381.0,349931372408.0,1571670802254.0,8088019756806.0,654732082746.0,724944979284.0,419612150813.0,10986570206.0,79307538170.0,569077091478.0,275428605689.0,337329160090.0,193338015970.0,11023952806566.0,561606551334.0,585401280232.0,79756914553.0,479628758040.0,229612650690.0,376664635931.0,5526647546441.0,557650562166.0,317220083361.0,204612297005.0,0.0,17985300069.0,451518851806.0,167682463848.0,174901046889.0
2018_Jeonbuk,325859040246.0,6754249778225.0,309978042468.0,74566653965.0,459176390745.0,49802818473.0,276016057589.0,431543843862.0,6105990341010.0,230612134259.0,387640877589.0,681778395660.0,600860546161.0,486390752040.0,402708314853.0,305547701853.0,274140071369.0,9583104446049.0,830663963705.0,1187703906971.0,99869702130.0,432520384658.0,272090915249.0,1355488959877.0,8666879407027.0,499541894619.0,550355234057.0,418015090902.0,22400686217.0,58445513421.0,432118097563.0,233577450266.0,269923650249.0,165132275553.0,11714222709691.0,645052846835.0,540914599809.0,52672548102.0,438828017977.0,162025363193.0,452414359994.0,5943670278470.0,416343476229.0,234167920038.0,235737193834.0,17985300069.0,0.0,303763881939.0,162955184537.0,126654054722.0
2018_Jeju,208200339065.0,8831866590478.0,734886388715.0,619492535318.0,87563828014.0,272613611142.0,24783096550.0,803280412221.0,7997998650273.0,58233105952.0,433098901586.0,383193028683.0,316815961446.0,29607738331.0,158754604494.0,174134875698.0,216631436930.0,11905140077386.0,998261887046.0,958785443332.0,56214178433.0,426049438897.0,148385756186.0,1034084688626.0,11251859238420.0,50904909580.0,106097196062.0,599771579373.0,385349586454.0,244324959918.0,60249846864.0,273570771341.0,190220252078.0,252049121462.0,15059788269264.0,1223177638824.0,641049598826.0,204181546313.0,483512700698.0,123304229918.0,1032704445513.0,8554663603701.0,36320642650.0,106923808917.0,614133679241.0,451518851806.0,303763881939.0,0.0,363278469458.0,169537984937.0
2018_Chungnam,86318980937.0,5766724817878.0,757510396001.0,153207786888.0,307204032340.0,43133488346.0,300979566648.0,99878788829.0,5152981244693.0,158201879226.0,66289741646.0,350100698969.0,273637718534.0,449431468133.0,321930265034.0,91652818628.0,55931224800.0,8317087908470.0,329853637970.0,600915627922.0,211388940739.0,94313759229.0,88326269408.0,1194252974782.0,7677866662314.0,440258685390.0,405039700556.0,73327866125.0,95622191582.0,33038511014.0,297338372154.0,24709618629.0,65163464174.0,14481025670.0,11039527010538.0,286479261746.0,204637521000.0,99809996625.0,101763160312.0,65766324026.0,198766248523.0,6094096384225.0,373539993558.0,100174300169.0,42149194977.0,167682463848.0,162955184537.0,363278469458.0,0.0,36927030861.0
2018_Chungbuk,49774024130.0,6691159058869.0,681798376418.0,218884730589.0,165504280393.0,33974382689.0,139777544997.0,249248052566.0,6011085175490.0,46034369097.0,110589390497.0,297546215894.0,220693793861.0,240539010518.0,204424157267.0,41921188901.0,30822997269.0,9415743488681.0,479478576971.0,657660924577.0,83271336274.0,128793696426.0,30117566093.0,1100353112641.0,8757810621489.0,234728202009.0,240208476725.0,168424836086.0,105043958837.0,19661728139.0,143575055097.0,28014895476.0,28441341755.0,10115238059.0,12267853842921.0,514070135741.0,279968578017.0,48280928106.0,153693268729.0,5703735425.0,391549503982.0,6826527560026.0,184318139097.0,24206156066.0,148456457208.0,174901046889.0,126654054722.0,169537984937.0,36927030861.0,0.0
